"timestamp","label","direction","distance_cm","speed_cmps","kp","ki","kd","done","timeout","completion_s","final_remaining_cm","radial_error_cm","max_overshoot_cm","final_cross_error_cm","peak_actual_cmps","ovr_samples","max_yaw_error_deg","telemetry_samples","raw_log"
"2026-07-15T15:10:57","final_left40","left","40","50","2.3","0","0.1","1","0","2.815","1.2","1.389","0","0.7","53.61","2","0.63","33","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_left40.log"
"2026-07-15T15:11:04","final_right40","right","40","50","2.3","0","0.1","1","0","3.051","1.1","1.36","0","0.8","55.88","3","1.62","34","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_right40.log"
"2026-07-15T15:11:24","final_left50","left","50","50","2.3","0","0.1","1","0","3.066","0.7","1.14","0","0.9","55.65","2","1.25","35","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_left50.log"
"2026-07-15T15:11:31","final_right50","right","50","50","2.3","0","0.1","1","0","3.108","1.2","1.442","0","0.8","58.23","4","1.5","36","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_right50.log"
"2026-07-15T15:11:39","final_left70","left","70","65","2.3","0","0.1","1","0","2.925","1.2","1.442","0","0.8","69.49","2","1.87","33","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_left70.log"
"2026-07-15T15:11:47","final_right70","right","70","65","2.3","0","0.1","1","0","3.666","0.5","0.943","0","0.8","70.24","6","2.13","41","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_right70.log"
"2026-07-15T15:12:04","staging_right20_before_lr100","right","20","40","2.3","0","0.1","1","0","1.319","1.1","1.105","0","0.1","38.09","0","1.24","17","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\staging_right20_before_lr100.log"
"2026-07-15T15:12:12","final_left100","left","100","150","2.3","0","0.1","1","0","3.594","1.3","1.476","0","0.7","91.74","3","1.76","40","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_left100.log"
"2026-07-15T15:12:20","final_right100","right","100","150","2.3","0","0.1","1","0","3.661","0.8","1.36","0","1.1","92.61","4","1.31","41","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\final_right100.log"
"2026-07-15T15:13:57","ki_compare_forward70","forward","70","65","2.3","0.001","0.1","1","0","1.895","1.2","1.217","0","0.2","70.32","7","0.9","24","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\ki_compare_forward70.log"
"2026-07-15T15:14:03","ki_compare_backward70","backward","70","65","2.3","0.001","0.1","1","0","1.873","1.3","1.36","0","0.4","72.99","7","1.14","24","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\ki_compare_backward70.log"
"2026-07-15T15:14:11","ki_compare_left70","left","70","65","2.3","0.001","0.1","1","0","3.011","0.9","1.421","0","1.1","69.17","4","0.97","34","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\ki_compare_left70.log"
"2026-07-15T15:14:18","ki_compare_right70","right","70","65","2.3","0.001","0.1","1","0","2.909","1.2","1.217","0","0.2","69.7","3","2.13","34","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\ki_compare_right70.log"
